Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,ë£ Original Estimate,ë£ Remaining Estimate,ë£ Time Spent,Security Level,Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Container),Outward issue link (Duplicate),Outward issue link (Incorporates),Outward issue link (Incorporates),Outward issue link (Incorporates),Outward issue link (Incorporates),Outward issue link (Problem/Incident),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Regression),Outward issue link (Regression),Outward issue link (Required),Outward issue link (Supercedes),Outward issue link (Supercedes),Outward issue link (Supercedes),Outward issue link (Supercedes),Outward issue link (dependent),Outward issue link (dependent),Outward issue link (dependent),Outward issue link (dependent),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Flags),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (Hadoop Flags),Custom field (Hadoop Flags),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note),Custom field (Severity),Custom field (Severity),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name)
The console log is noisy when using DNSDomainNameResolver to resolve NameNode.,HDFS-14673,13247222,,Improvement,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Minor,Fixed,pingsutw,aajisaka,aajisaka,26/Jul/19 06:32,26/Jul/19 20:18,18/Jan/20 01:03,26/Jul/19 18:09,,,,,,3.3.0,,,,,,,,,,,,,0,newbie,,"The following log is displayed in every hdfs command when using DNSDomainNameResolver.
{noformat}
-bash-4.2$ hadoop fs -ls /
19/07/25 14:32:28 INFO ha.AbstractNNFailoverProxyProvider: Namenode domain name will be resolved with org.apache.hadoop.net.DNSDomainNameResolver
(snip)
{noformat}
Can we change the log level from info to debug?

This issue is originally reported by [~tasanuma].",,aajisaka,ayushtkn,elgoiri,hexiaoqiao,hudson,tasanuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,2019-07-26 18:11:09.514,,,false,,,,,,,,,,,,,,,,,9223372036854775807,Reviewed,,,,Fri Jul 26 20:18:15 UTC 2019,,,,,,0|z051tc:,9223372036854775807,,,,,,,
"When decommissioning a node, log remaining blocks to replicate periodically",HDFS-14624,13242781,,Improvement,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Major,Fixed,sodonnell,sodonnell,sodonnell,02/Jul/19 15:30,04/Oct/19 00:38,18/Jan/20 01:03,11/Jul/19 15:55,3.3.0,,,,,3.1.4,3.2.2,3.3.0,,,,,namenode,,,,,,0,,,"When a node is marked for decommission, there is a monitor thread which runs every 30 seconds by default, and checks if the node still has pending blocks to be replicated before the node can complete replication.

There are two existing debug level messages logged in the monitor thread, DatanodeAdminManager$Monitor.check(), which log the correct information already, first as the pending blocks are replicated:
{code:java}
LOG.debug(""Node {} still has {} blocks to replicate ""
    + ""before it is a candidate to finish {}."",
    dn, blocks.size(), dn.getAdminState());{code}
And then after the initial set of blocks has completed and a rescan happens:
{code:java}
LOG.debug(""Node {} {} healthy.""
    + "" It needs to replicate {} more blocks.""
    + "" {} is still in progress."", dn,
    isHealthy ? ""is"": ""isn't"", blocks.size(), dn.getAdminState());{code}
I would like to propose moving these messages to INFO level so it is easier to monitor decommission progress over time from the Namenode log.

Based on the default settings, this would result in at most 1 log message per node being decommissioned every 30 seconds. The reason this is at the most, is because the monitor thread stops after checking after 500K blocks and therefore in practice it could be as little as 1 log message per 30 seconds, even if many DNs are being decommissioned at the same time.

Note that the namenode webUI does display the above information, but having this in the NN logs would allow progress to be tracked more easily.",,elgoiri,hudson,sodonnell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/Jul/19 15:48;sodonnell;HDFS-14624.001.patch;https://issues.apache.org/jira/secure/attachment/12973450/HDFS-14624.001.patch,04/Jul/19 16:04;sodonnell;HDFS-14624.002.patch;https://issues.apache.org/jira/secure/attachment/12973705/HDFS-14624.002.patch,11/Jul/19 14:07;sodonnell;HDFS-14624.003.patch;https://issues.apache.org/jira/secure/attachment/12974405/HDFS-14624.003.patch,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2019-07-02 16:43:09.44,,,false,,,,,,,,,,,,,,,,,9223372036854775807,Reviewed,,,,Thu Jul 11 17:18:57 UTC 2019,,,,,,0|z04b0g:,9223372036854775807,,,,,,,
Incorrect header or version mismatch log message,HDFS-14451,13229637,,Improvement,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Minor,Fixed,shwetayakkali,belugabehr,belugabehr,23/Apr/19 14:48,24/May/19 18:00,18/Jan/20 01:03,24/May/19 16:44,3.2.0,,,,,3.1.3,3.2.1,3.3.0,,,,,ipc,,,,,,0,noob,,"{code:java|title=Server.java}
          if (!RpcConstants.HEADER.equals(dataLengthBuffer)
              || version != CURRENT_VERSION) {
            //Warning is ok since this is not supposed to happen.
            LOG.warn(""Incorrect header or version mismatch from "" + 
                     hostAddress + "":"" + remotePort +
                     "" got version "" + version + 
                     "" expected version "" + CURRENT_VERSION);
            setupBadVersionResponse(version);
            return -1;
{code}

This message should include the value of {{RpcConstants.HEADER}} and {{dataLengthBuffer}} in addition to just the version information or else that data is lost.",,belugabehr,elgoiri,hexiaoqiao,hudson,shwetayakkali,weichiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/Apr/19 18:14;shwetayakkali;HDFS-14451.001.patch;https://issues.apache.org/jira/secure/attachment/12966929/HDFS-14451.001.patch,02/May/19 21:29;shwetayakkali;HDFS-14451.002.patch;https://issues.apache.org/jira/secure/attachment/12967709/HDFS-14451.002.patch,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2019-05-02 00:26:00.595,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Fri May 24 18:00:18 UTC 2019,,,,,,0|z02234:,9223372036854775807,,,,,,,
Fix misuse of SLF4j logging API in DatasetVolumeChecker#checkAllVolumes,HDFS-14407,13225840,,Bug,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Minor,Fixed,jiwq,jiwq,jiwq,03/Apr/19 15:44,05/Apr/19 05:07,18/Jan/20 01:03,05/Apr/19 03:41,,,,,,2.10.0,2.9.3,3.0.4,3.1.3,3.2.1,3.3.0,,,,,,,,0,,," Wrong:
{code:java}
LOG.warn(""checkAllVolumes timed out after {} ms"" +
    maxAllowedTimeForCheckMs);
{code}
Correct:
{code:java}
LOG.warn(""checkAllVolumes timed out after {} ms"",
    maxAllowedTimeForCheckMs);
{code}",,aajisaka,elgoiri,giovanni.fumarola,hudson,jiwq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/Apr/19 15:46;jiwq;HDFS-14407.001.patch;https://issues.apache.org/jira/secure/attachment/12964722/HDFS-14407.001.patch,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2019-04-03 17:29:21.076,,,false,,,,,,,,,,,,,,,,,9223372036854775807,Reviewed,,,,Fri Apr 05 05:07:19 UTC 2019,,,,,,0|z01f28:,9223372036854775807,,,,,,,
Improve Logging in FSNamesystem by adding parameterized logging,HDFS-14371,13221557,,Improvement,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Minor,Fixed,shwetayakkali,shwetayakkali,shwetayakkali,14/Mar/19 00:31,06/Apr/19 03:48,18/Jan/20 01:03,05/Apr/19 23:09,3.3.0,,,,,3.3.0,,,,,,,hdfs,,,,,,0,,,"Remove several instances of check for debug log enabled in FSNamesystem one such example is as:
{code}
if (LOG.isDebugEnabled()) {
        LOG.debug(""list corrupt file blocks returned: "" + count);
}
{code}

This can be replaced by using parameterized logging.",,hudson,knanasi,shwetayakkali,smeng,weichiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/Mar/19 00:33;shwetayakkali;HDFS-14371.001.patch;https://issues.apache.org/jira/secure/attachment/12962415/HDFS-14371.001.patch,27/Mar/19 23:20;shwetayakkali;HDFS-14371.002.patch;https://issues.apache.org/jira/secure/attachment/12963965/HDFS-14371.002.patch,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2019-03-14 02:50:29.739,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Sat Apr 06 03:48:52 UTC 2019,,,,,,0|z00orc:,9223372036854775807,,,,,,,
Add metrics for edit log tailing ,HDFS-13641,13162933,,Improvement,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Major,Fixed,csun,csun,csun,30/May/18 15:59,13/Jun/18 12:30,18/Jan/20 01:03,13/Jun/18 12:15,3.0.3,,,,,3.0.4,3.1.1,3.2.0,,,,,metrics,,,,,,0,,,"We should add metrics for each iteration of edit log tailing, including 1) # of edits loaded, 2) time spent in select input edit stream, 3) time spent in loading the edits, 4) interval between the iterations.",,csun,hudson,linyiqun,xkrogen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/May/18 05:26;csun;HDFS-13641-HDFS-12943.000.patch;https://issues.apache.org/jira/secure/attachment/12925855/HDFS-13641-HDFS-12943.000.patch,04/Jun/18 07:01;csun;HDFS-13641.000.patch;https://issues.apache.org/jira/secure/attachment/12926321/HDFS-13641.000.patch,04/Jun/18 18:52;csun;HDFS-13641.001.patch;https://issues.apache.org/jira/secure/attachment/12926435/HDFS-13641.001.patch,04/Jun/18 21:11;csun;HDFS-13641.002.patch;https://issues.apache.org/jira/secure/attachment/12926451/HDFS-13641.002.patch,13/Jun/18 06:08;csun;HDFS-13641.003.patch;https://issues.apache.org/jira/secure/attachment/12927585/HDFS-13641.003.patch,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,2018-05-31 08:26:44.467,,,false,,,,,,,,,,,,,,,,,9223372036854775807,Reviewed,,,,Wed Jun 13 12:30:10 UTC 2018,,,,,,0|i3ubi7:,9223372036854775807,,,,,,,
mkdir should print the parent directory in the error message when parent directories do not exist,HDFS-13622,13162028,,Bug,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Major,Fixed,shwetayakkali,kgyrtkirk,kgyrtkirk,25/May/18 09:53,26/Jul/18 17:54,18/Jan/20 01:03,26/Jul/18 17:24,,,,,,3.2.0,,,,,,,,,,,,,0,,,"this is a bit misleading:
{code}
$ hdfs  dfs -mkdir /nonexistent/newdir
mkdir: `/nonexistent/newdir': No such file or directory
{code}

I think this command should fail because ""nonexistent"" doesn't exists...
the correct would be:
{code}
$ hdfs  dfs -mkdir /nonexistent/newdir
mkdir: `/nonexistent': No such file or directory
{code}


",,gabor.bota,hanishakoneru,hudson,kgyrtkirk,shwetayakkali,smeng,xiaochen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/Jul/18 19:23;shwetayakkali;HDFS-13622.02.patch;https://issues.apache.org/jira/secure/attachment/12931993/HDFS-13622.02.patch,18/Jul/18 20:55;shwetayakkali;HDFS-13622.03.patch;https://issues.apache.org/jira/secure/attachment/12932147/HDFS-13622.03.patch,19/Jul/18 23:23;shwetayakkali;HDFS-13622.04.patch;https://issues.apache.org/jira/secure/attachment/12932340/HDFS-13622.04.patch,20/Jul/18 17:10;shwetayakkali;HDFS-13622.05.patch;https://issues.apache.org/jira/secure/attachment/12932443/HDFS-13622.05.patch,25/Jul/18 00:18;shwetayakkali;HDFS-13622.06.patch;https://issues.apache.org/jira/secure/attachment/12932975/HDFS-13622.06.patch,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,2018-07-17 19:24:33.796,,,false,,,,,,,,,,,,,,,,,9223372036854775807,Reviewed,,,,Thu Jul 26 17:54:01 UTC 2018,,,,,,0|i3u5xj:,9223372036854775807,,,,,,,
Log HDFS file name when client fails to connect,HDFS-13440,13152042,,Improvement,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Trivial,Fixed,gabor.bota,weichiu,weichiu,12/Apr/18 17:45,31/May/18 23:10,18/Jan/20 01:03,31/May/18 22:22,,,,,,3.2.0,,,,,,,,,,,,,0,,,"HDFS-11993 added block name in log message when a dfsclient fails to connect, which is good.

As a follow-on, it can also log HDFS file name too, just in DFSInputStream#actualGetFromOneDataNode",,elgoiri,gabor.bota,hudson,weichiu,zvenczel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/May/18 08:34;gabor.bota;HDFS-13440.001.patch;https://issues.apache.org/jira/secure/attachment/12924275/HDFS-13440.001.patch,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2018-05-20 09:45:00.997,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Thu May 31 23:10:05 UTC 2018,,,,,,0|i3shfb:,9223372036854775807,,,,,,,
RBF: Improve the error loggings for printing the stack trace,HDFS-13435,13151859,13107681,Sub-task,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Major,Fixed,linyiqun,linyiqun,linyiqun,12/Apr/18 06:11,08/May/18 18:36,18/Jan/20 01:03,17/Apr/18 03:35,3.0.1,,,,,2.10.0,2.9.2,3.0.3,3.1.1,3.2.0,,,,,,,,,0,,,"There are many places that using {{Logger.error(String format, Object... arguments)}} incorrectly.
 A example:
{code:java}
LOG.error(""Cannot remove {}"", path, e);
{code}
The exception passed here is no meaning and won't be printed. Actually it should be update to
{code:java}
LOG.error(""Cannot remove {}: {}."", path, e.getMessage());
{code}
or 
{code:java}
LOG.error(""Cannot remove "" +  path, e));
{code}",,ajayydv,elgoiri,linyiqun,ywskycn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/Apr/18 06:14;linyiqun;HDFS-13435.001.patch;https://issues.apache.org/jira/secure/attachment/12918681/HDFS-13435.001.patch,13/Apr/18 07:19;linyiqun;HDFS-13435.002.patch;https://issues.apache.org/jira/secure/attachment/12918894/HDFS-13435.002.patch,16/Apr/18 09:18;linyiqun;HDFS-13435.003.patch;https://issues.apache.org/jira/secure/attachment/12919188/HDFS-13435.003.patch,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2018-04-12 07:28:57.047,,,false,,,,,,,,,,,,,,,,,9223372036854775807,Reviewed,,,,Tue Apr 17 03:35:42 UTC 2018,,,,,,0|i3sgan:,9223372036854775807,,,,,,,
Should log more information when FSNameSystem is locked for a long time,HDFS-13411,13150817,,Improvement,Patch Available,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Major,,Tao Jie,Tao Jie,Tao Jie,08/Apr/18 02:52,13/Apr/18 09:20,18/Jan/20 01:03,,2.8.2,3.0.0,,,,,,,,,,,,,,,,,0,,,"Today when one RPC to namenode locks FSNameSystem for a long time, it would print the stacktrace to the namenode log. However all we know from this log is the operation name to the Namenode(such as create, delete). 

It should print more information about the rpc call(like caller name, caller ip, operation src), which blocks the namenode. So we can have a better tuning to the HDFS. ",,cheersyang,Tao Jie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Apr/18 07:39;Tao Jie;HDFS-13411.001.patch;https://issues.apache.org/jira/secure/attachment/12917971/HDFS-13411.001.patch,09/Apr/18 07:26;Tao Jie;HDFS-13411.002.patch;https://issues.apache.org/jira/secure/attachment/12918040/HDFS-13411.002.patch,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2018-04-08 10:20:25.653,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Fri Apr 13 09:20:37 UTC 2018,,,,,,0|i3s9vr:,9223372036854775807,,,,,,,
Ozone: OzoneFileSystem: Calling delete with non-existing path shouldn't be logged on ERROR level,HDFS-13133,13137719,13134186,Sub-task,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Major,Fixed,elek,elek,elek,11/Feb/18 16:36,26/Apr/18 21:56,18/Jan/20 01:03,12/Feb/18 08:33,HDFS-7240,,,,,HDFS-7240,,,,,,,ozone,,,,,,0,,,"During the test of OzoneFileSystem with spark I noticed ERROR messages multiple times:

Something like this:

{code}
2018-02-11 15:54:54 ERROR OzoneFileSystem:409 - Couldn't delete o3://bucket1.test/user/hadoop/.sparkStaging/application_1518349702045_0008 - does not exist
{code}

I checked the other implemetations, and they use DEBUG level. I think it's expected that the path sometimes points to a non-existing dir/file.

To be consistent with the other implemetation I propose to lower the log level to debug.


Examples from other file systems:

S3AFileSystem:

{code}
} catch (FileNotFoundException e) {
      LOG.debug(""Couldn't delete {} - does not exist"", f);
      instrumentation.errorIgnored();
      return false;
    } catch (AmazonClientException e) {
      throw translateException(""delete"", f, e);
    }
{code}


Alyun:

{code}
   try {
      return innerDelete(getFileStatus(path), recursive);
    } catch (FileNotFoundException e) {
      LOG.debug(""Couldn't delete {} - does not exist"", path);
      return false;
    }
{code}


SFTP:

{code}
   } catch (FileNotFoundException e) {
      // file not found, no need to delete, return true
      return false;
    }
{code}

SwiftNativeFileSystem:

{code}
    try {
      return store.delete(path, recursive);
    } catch (FileNotFoundException e) {
      //base path was not found.
      return false;
    }
{code}",,elek,hudson,msingh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/Feb/18 16:37;elek;HDFS-13133-HDFS-7240.001.patch;https://issues.apache.org/jira/secure/attachment/12910120/HDFS-13133-HDFS-7240.001.patch,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2018-02-11 17:26:00.712,,,false,,,,,,,,,,,,,,,,,9223372036854775807,Reviewed,,,,Thu Apr 26 21:56:58 UTC 2018,,,,,,0|i3q1p3:,9223372036854775807,,,,,,,
Log object instance get incorrectly in SlowDiskTracker,HDFS-13130,13137626,,Bug,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Minor,Fixed,jiangjianfei,jiangjianfei,jiangjianfei,10/Feb/18 14:02,19/Mar/18 18:31,18/Jan/20 01:03,11/Feb/18 04:07,3.0.0,,,,,3.1.0,,,,,,,,,,,,,0,,,"In class org.apache.hadoop.hdfs.server.blockmanagement.*SlowDiskTracker*, the LOG is targeted to *SlowPeerTracker*.class incorrectly.
{code:java}
public class SlowDiskTracker {
 public static final Logger LOG =
 LoggerFactory.getLogger(SlowPeerTracker.class);{code}
 

 

 ",,hudson,jiangjianfei,linyiqun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/Feb/18 14:03;jiangjianfei;HDFS-13130.patch;https://issues.apache.org/jira/secure/attachment/12910048/HDFS-13130.patch,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2018-02-10 18:30:09.16,,,false,,,,,,,,,,,,,,,,,9223372036854775807,Reviewed,,,,Thu Feb 15 07:31:22 UTC 2018,,,,,,0|i3q14f:,9223372036854775807,,,,,,,
Move logging to slf4j in BlockPoolSliceStorage and Storage,HDFS-12997,13129383,13119069,Sub-task,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Major,Fixed,ajayydv,ajayydv,ajayydv,08/Jan/18 22:41,06/Feb/18 01:44,18/Jan/20 01:03,01/Feb/18 20:23,3.0.0,,,,,3.0.1,3.1.0,,,,,,,,,,,,0,,,Move logging to slf4j in BlockPoolSliceStorage and Storage classes.,,aajisaka,ajayydv,bharat,eddyxu,elgoiri,hanishakoneru,hudson,virajith,xyao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/Jan/18 17:09;ajayydv;HDFS-12997.001.patch;https://issues.apache.org/jira/secure/attachment/12906670/HDFS-12997.001.patch,19/Jan/18 18:53;ajayydv;HDFS-12997.002.patch;https://issues.apache.org/jira/secure/attachment/12906869/HDFS-12997.002.patch,23/Jan/18 19:17;ajayydv;HDFS-12997.003.patch;https://issues.apache.org/jira/secure/attachment/12907335/HDFS-12997.003.patch,26/Jan/18 02:17;ajayydv;HDFS-12997.004.patch;https://issues.apache.org/jira/secure/attachment/12907806/HDFS-12997.004.patch,29/Jan/18 18:49;ajayydv;HDFS-12997.005.patch;https://issues.apache.org/jira/secure/attachment/12908188/HDFS-12997.005.patch,30/Jan/18 18:42;ajayydv;HDFS-12997.006.patch;https://issues.apache.org/jira/secure/attachment/12908395/HDFS-12997.006.patch,31/Jan/18 00:09;ajayydv;HDFS-12997.007.patch;https://issues.apache.org/jira/secure/attachment/12908456/HDFS-12997.007.patch,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,2018-01-09 01:09:22.653,,,false,,,,,,,,,,,,,,,,,9223372036854775807,Reviewed,,,,Tue Feb 06 01:42:47 UTC 2018,,,,,,0|i3onrz:,9223372036854775807,,,,,,,
